WKT,nama,deskripsi
"POINT (106.8229198 -6.1944491)",Jakarta,
"POLYGON ((106.7244612 -6.0882032, 106.719998 -6.0912757, 106.7045485 -6.0957136, 106.6884123 -6.0957136, 106.6877257 -6.1052722, 106.6969954 -6.1093687, 106.6959654 -6.1117583, 106.6897856 -6.1141479, 106.6873824 -6.1257544, 106.6904723 -6.133947, 106.687039 -6.1438463, 106.688069 -6.1602309, 106.6887557 -6.171495, 106.7172514 -6.1868547, 106.7165648 -6.1923159, 106.7224013 -6.1912919, 106.7234313 -6.2056272, 106.7196547 -6.2090403, 106.7172514 -6.2206446, 106.721028 -6.2243989, 106.7378508 -6.2240576, 106.7443739 -6.2291771, 106.7443739 -6.2353204, 106.7481505 -6.2390746, 106.7471205 -6.2482893, 106.7508971 -6.2496544, 106.7543303 -6.2578452, 106.7508971 -6.2609166, 106.7550169 -6.2633056, 106.7526137 -6.2691072, 106.7505538 -6.2738849, 106.7567336 -6.2738849, 106.7594801 -6.2772976, 106.7725264 -6.299138, 106.7728697 -6.3025505, 106.7756163 -6.3107404, 106.7787062 -6.3165415, 106.808232 -6.3148353, 106.8006789 -6.3346268, 106.7934691 -6.3472521, 106.7927824 -6.3619242, 106.7986189 -6.3649951, 106.8068587 -6.3632891, 106.8130385 -6.3605594, 106.8205916 -6.3547588, 106.8336379 -6.3547588, 106.8384444 -6.3516879, 106.8425642 -6.3431574, 106.8463408 -6.3387215, 106.8514906 -6.3373566, 106.8549239 -6.3462284, 106.8580138 -6.3523703, 106.8607604 -6.3554412, 106.87106 -6.3530527, 106.8738066 -6.3554412, 106.8727767 -6.3605594, 106.8772398 -6.3612418, 106.882733 -6.3660187, 106.8841063 -6.3701132, 106.8895995 -6.3687484, 106.8964659 -6.3704544, 106.8995558 -6.3687484, 106.9047057 -6.3622654, 106.9077956 -6.3612418, 106.9136321 -6.3649951, 106.9201552 -6.3295084, 106.9174086 -6.3264373, 106.9208418 -6.3226838, 106.9218718 -6.3127879, 106.9204985 -6.3076692, 106.9198119 -6.3001618, 106.914662 -6.2970905, 106.9115721 -6.2974318, 106.9091689 -6.2718373, 106.905049 -6.2680834, 106.906079 -6.2602341, 106.9101988 -6.2554562, 106.9163786 -6.2585277, 106.9170653 -6.252726, 106.9198119 -6.2499957, 106.9225584 -6.252726, 106.9421278 -6.252726, 106.9438445 -6.2390746, 106.9483077 -6.223375, 106.9500243 -6.2185968, 106.9555174 -6.219962, 106.958264 -6.213136, 106.9623839 -6.213136, 106.9668471 -6.1994835, 106.9716536 -6.1851481, 106.9716536 -6.1595482, 106.9702803 -6.100493, 106.9692503 -6.0619158, 106.7512404 -6.0636228, 106.7357909 -6.0653298, 106.7244612 -6.0882032))",Poligon DKI Jakarta,
