WKT,nama,deskripsi
"POINT (106.7942405 -6.4024844)",Kota Depok,
"POLYGON ((106.7192364 -6.3586891, 106.7212964 -6.3696077, 106.7247296 -6.38735, 106.7247296 -6.3948562, 106.7206097 -6.4064564, 106.7377759 -6.421468, 106.7370892 -6.427609, 106.7398358 -6.4378438, 106.7535687 -6.4419377, 106.7618085 -6.4351146, 106.7727948 -6.4460316, 106.7933941 -6.444667, 106.7954541 -6.4357969, 106.8030072 -6.4378438, 106.8050671 -6.4521723, 106.8222333 -6.4521723, 106.8194867 -6.4439846, 106.8325329 -6.4453493, 106.8380261 -6.4535369, 106.8380261 -6.4617243, 106.8476391 -6.4603598, 106.8545056 -6.4501254, 106.8496991 -6.4378438, 106.8586255 -6.4364792, 106.8689251 -6.4480785, 106.8744183 -6.4583129, 106.8908978 -6.431703, 106.8854046 -6.425562, 106.8771649 -6.4310206, 106.8702984 -6.4201033, 106.8785382 -6.4146446, 106.896391 -6.417374, 106.9108105 -6.4132799, 106.9183636 -6.4180563, 106.9169903 -6.4064564, 106.9073773 -6.3996327, 106.8991376 -6.4009975, 106.9046307 -6.3880324, 106.9018841 -6.3750669, 106.8995558 -6.3687484, 106.8895995 -6.3687484, 106.882733 -6.3660187, 106.8727767 -6.3605594, 106.87106 -6.3530527, 106.8607604 -6.3554412, 106.8549239 -6.3462284, 106.8514906 -6.3373566, 106.8425642 -6.3431574, 106.8359662 -6.3423107, 106.8384444 -6.3516879, 106.8290997 -6.3559594, 106.8146802 -6.3559594, 106.8068587 -6.3632891, 106.7927824 -6.3619242, 106.7934691 -6.3472521, 106.8002606 -6.3423107, 106.8006789 -6.3346268, 106.8057538 -6.3225195, 106.808232 -6.3148353, 106.7787062 -6.3165415, 106.7741681 -6.3436756, 106.7700482 -6.3545946, 106.7611218 -6.3573243, 106.7563153 -6.3614188, 106.7192364 -6.3586891))",Poligon Depok,
