WKT,nama,deskripsi
"POINT (110.4262088 -7.875384899999999)",Daerah Istimewa Yogyakarta,
"POLYGON ((110.0274063 -7.890673, 110.039766 -7.9001949, 110.1372696 -7.9410006, 110.1798416 -7.9682022, 110.2128006 -7.9899621, 110.2526261 -8.0035615, 110.3432633 -8.0280392, 110.3569962 -8.0525154, 110.3803421 -8.0688321, 110.4009415 -8.0742709, 110.4256607 -8.089227, 110.4380204 -8.1001039, 110.4723526 -8.11234, 110.5465103 -8.1313733, 110.5726029 -8.1395301, 110.5890824 -8.1558432, 110.5986954 -8.1449679, 110.6879593 -8.1871082, 110.7030655 -8.1830303, 110.709932 -8.1993417, 110.7319046 -8.1939047, 110.7593705 -8.1925454, 110.7909561 -8.1911861, 110.8033158 -8.2020602, 110.8307816 -8.2020602, 110.8335282 -8.1762337, 110.8211686 -8.1612808, 110.8101822 -8.1476867, 110.795076 -8.1639996, 110.7840897 -8.1463273, 110.7882096 -8.1028231, 110.7538773 -8.0198801, 110.762117 -7.9981218, 110.7676102 -7.9654821, 110.7676102 -7.9001949, 110.7758499 -7.8852318, 110.7827164 -7.8702682, 110.785463 -7.8471415, 110.7827164 -7.8348974, 110.7799698 -7.8131293, 110.7634903 -7.8104082, 110.7538773 -7.825374, 110.7264115 -7.7981631, 110.7126786 -7.7968025, 110.7044388 -7.8076871, 110.6838394 -7.8063266, 110.6728531 -7.7968025, 110.6701065 -7.7859176, 110.653627 -7.8022448, 110.6426407 -7.7968025, 110.6234146 -7.8022448, 110.6069352 -7.7954419, 110.5959488 -7.804966, 110.578096 -7.8076871, 110.5808426 -7.7954419, 110.578096 -7.7859176, 110.5574967 -7.780475, 110.5520035 -7.7913601, 110.5410172 -7.7968025, 110.525911 -7.7927207, 110.5053116 -7.7723111, 110.4915787 -7.7627862, 110.4778458 -7.681136, 110.4723526 -7.6280549, 110.4627396 -7.6117209, 110.4572464 -7.5640766, 110.4435135 -7.5409332, 110.4215409 -7.5545471, 110.3913285 -7.5953863, 110.3061844 -7.6525547, 110.2691056 -7.7001891, 110.2608658 -7.6824969, 110.2649857 -7.6661651, 110.2649857 -7.6498325, 110.2498795 -7.640305, 110.243013 -7.6525547, 110.2265335 -7.6498325, 110.200441 -7.6471104, 110.1784684 -7.6443882, 110.1400162 -7.6484715, 110.1166703 -7.6675261, 110.1386429 -7.6879408, 110.1304032 -7.6988282, 110.1317765 -7.730128, 110.1194168 -7.7573434, 110.1056839 -7.7763931, 110.0795914 -7.8022448, 110.0617386 -7.8172109, 110.0576187 -7.8389788, 110.0438858 -7.8539436, 110.0466324 -7.8716285, 110.0274063 -7.890673))",Poligon Daerah Istimewa Yogyakarta,
